benchmark,stage,type,gb10_ms,gh200_ms,observed_speedup,gb200_ms,gb200_lo,gb200_hi,vr200_ms,vr200_lo,vr200_hi
voltbf_M8192,corner_turn,memory,4.170,1.360,3.07,0.461,0.224,0.891,0.284,0.092,0.658
voltbf_short_cf4,fused_transpose_fp8,memory,0.720,0.320,2.25,0.093,0.039,0.210,0.057,0.016,0.155
voltbf_short_cf4,gemm_pol0,cutlass_gemm,54.630,5.390,10.14,2.521,1.781,3.345,0.788,0.371,1.254
voltbf_short_cf4,gemm_pol1,cutlass_gemm,55.750,5.480,10.17,2.568,1.811,3.413,0.802,0.377,1.280
voltbf_short_cf4,time_integrate,memory,3.000,0.310,9.68,0.187,0.122,0.268,0.115,0.050,0.198
voltbf_short_cf8,fused_transpose_fp8,memory,0.720,0.320,2.25,0.093,0.039,0.210,0.057,0.016,0.155
voltbf_short_cf8,gemm_pol0,cutlass_gemm,33.320,2.810,11.86,1.422,0.929,2.040,0.444,0.193,0.765
voltbf_short_cf8,gemm_pol1,cutlass_gemm,34.420,2.870,11.99,1.460,0.948,2.107,0.456,0.198,0.790
voltbf_short_cf8,time_integrate,memory,3.030,0.310,9.77,0.188,0.122,0.271,0.116,0.050,0.200
voltbf_short_cf8_nb16,fused_transpose_fp8,memory,12.240,5.060,2.42,1.524,0.657,3.316,0.938,0.269,2.449
voltbf_short_cf8_nb16,gemm_pol0,cutlass_gemm,213.210,25.760,8.28,10.888,7.833,14.189,3.402,1.632,5.321
voltbf_short_cf8_nb16,gemm_pol1,cutlass_gemm,222.820,26.640,8.36,11.319,8.186,14.673,3.537,1.705,5.502
voltbf_short_cf8_nb16,time_integrate,memory,108.240,11.330,9.55,6.783,4.455,9.682,4.174,1.828,7.150
voltbf_short_cf8_nb2,fused_transpose_fp8,memory,1.430,0.640,2.23,0.185,0.077,0.419,0.114,0.031,0.310
voltbf_short_cf8_nb2,gemm_pol0,cutlass_gemm,44.540,3.670,12.14,1.878,1.213,2.727,0.587,0.253,1.023
voltbf_short_cf8_nb2,gemm_pol1,cutlass_gemm,46.030,3.780,12.18,1.938,1.249,2.818,0.606,0.260,1.057
voltbf_short_cf8_nb2,time_integrate,memory,6.300,0.620,10.16,0.383,0.244,0.564,0.236,0.100,0.416
voltbf_short_cf8_nb4,fused_transpose_fp8,memory,2.920,1.270,2.30,0.373,0.157,0.832,0.230,0.064,0.615
voltbf_short_cf8_nb4,gemm_pol0,cutlass_gemm,66.930,6.590,10.16,3.085,2.178,4.098,0.964,0.454,1.537
voltbf_short_cf8_nb4,gemm_pol1,cutlass_gemm,70.030,6.830,10.25,3.213,2.257,4.288,1.004,0.470,1.608
voltbf_short_cf8_nb4,time_integrate,memory,14.050,1.290,10.89,0.825,0.507,1.257,0.507,0.208,0.928
voltbf_short_cf8_nb8,fused_transpose_fp8,memory,6.070,2.530,2.40,0.759,0.326,1.658,0.467,0.134,1.224
voltbf_short_cf8_nb8,gemm_pol0,cutlass_gemm,114.940,12.690,9.06,5.611,4.194,7.038,1.753,0.874,2.639
voltbf_short_cf8_nb8,gemm_pol1,cutlass_gemm,122.380,13.090,9.35,5.880,4.326,7.493,1.838,0.901,2.810
voltbf_short_cf8_nb8,time_integrate,memory,33.380,3.390,9.85,2.060,1.333,2.986,1.268,0.547,2.205
voltbf_short_unfused,qc_transpose,memory,0.080,0.020,4.00,0.008,0.004,0.013,0.005,0.002,0.010
voltbf_short_unfused,gemm_pol0,cutlass_gemm,23.870,2.070,11.53,1.033,0.684,1.462,0.323,0.143,0.548
voltbf_short_unfused,gemm_pol1,cutlass_gemm,23.690,2.070,11.44,1.029,0.684,1.451,0.322,0.143,0.544
voltbf_short_unfused,time_integrate,memory,0.300,0.050,6.00,0.024,0.016,0.033,0.015,0.007,0.024
voltbf_short_unfused,corner_turn,memory,2.360,0.090,26.22,0.089,0.035,0.211,0.055,0.015,0.156
